Distillery;Location;Region;Foundation Year;Owner;Closing Year;Is Closed;Is Demolished;Type of Whisky;URL;Coordinates;Founded;Status;Water source;No. of stills;Capacity;Website;Mothballed;Age(s);Cask type(s);Founder;ABV;Type;Architect;Opened;Annual production volume;Owned by;Characteristics;Company type;Industry;Latitude;Longitude;Image
Bankier;;Lowland;;;1928;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Bankier_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Benachie;;Highland;;;1915;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Benachie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Benmore;;Campbeltown;;;1927;True;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Benmore_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Ben Morven;;Highland;;;1914;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Ben_Morven_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Ben Wyvis;Invergordon, Scotland;Highland;;Invergordon Distillers;1977;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Ben_Wyvis_distillery;;1879;Closed/demolished;;1 wash, 1 spirit;;;;;;;;;;;;;;;;57.694722;-4.1525;/wiki/File:Ben_Wyvis_distillery_Alfred_Barnard.jpg
Bon Accord;;Highland;;;1913;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Bon_Accord_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Burnside;;Campbeltown;;;1919;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Burnside_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Caledonian;;Campbeltown;;;1842;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Caledonian_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Campbeltown;;Campbeltown;;;1924;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Campbeltown_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Caperdonich;Rothes, Scotland;Speyside;;Chivas Brothers;2002;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Caperdonich_distillery;;1898;Closed/demolished;Caperdonich Burn;2 wash, 2 spirit;;;;;;;;;;;;;;;;57.525278;-3.203333;
Clydesdale;;Lowland;;;1919;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Clydesdale_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Coleburn;Longmorn, Elgin, Scotland;Speyside;;Winchester Brothers (site)Coleburn Distillery Ltd (brand);1985;True;False;Malt Whisky;https://en.wikipedia.org/wiki/Coleburn_distillery;;1897;Mothballed;;;;;1985;;;John Robertson & Son Ltd.;;;;;;;;;;57.593056;-3.271111;/wiki/File:Coleburn_Distillery_-_geograph.org.uk_-_59526.jpg
Convalmore;Dufftown, Moray, Scotland;Speyside;;William Grant & Sons;1985;True;False;Malt Whisky;https://en.wikipedia.org/wiki/Convalmore_distillery;;"1893; 132 years ago (1893)";Converted into a whisky warehouse facility;Springs in the Conval Hills;;;;;;;;;;;;;;;;;;;/wiki/File:Convalmore_Distillery,_Dufftown._-_geograph.org.uk_-_162578.jpg
Dalaruan;;Campbeltown;;;1922;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Dalaruan_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Dalintober;;Campbeltown;;;1925;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Dalintober_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Dallas Dhu;Forres, Moray, Scotland;Speyside;;"Alexander Edward (1898)
Wright & Greig Ltd. (1899–1918)
J. P. O'Brian & Co. (1919–1920)
Benmore Distilleries Ltd. (1921–1928)
Distillers Company (1929–1983)

Historic Scotland (1992–present)";1983;True;False;Malt Whisky;https://en.wikipedia.org/wiki/Dallas_Dhu_distillery;;1899;Museum since 1992;Altyre Burn;1 wash 6,300l , 1 spirit 5,600l[1];;;;;;;40% – 43%;Single malt;;;;;;;;57.593056;-3.61;/wiki/File:Dallas_Dhu_Distillery_-_geograph.org.uk_-_1275480.jpg
Dean;;Lowland;;;1922;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Dean_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Devanha;;Highland;;;1915;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Devanha_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Drumcaldie;;Lowland;;;1903;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Drumcaldie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Drumore;;Campbeltown;;;1847;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Drumore_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Edinburgh;;Lowland;;;1925;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Edinburgh_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Finnieston;;Lowland;;;1827;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Finnieston_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Fortrose;;Highland;;;1852;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Fortrose_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glen Albyn;"Inverness57°28′54″N 4°14′50″W﻿ / ﻿57.481629°N 4.247189°W﻿ / 57.481629; -4.247189";Highland;;Oliver Haiste;1983;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glen_Albyn_distillery;;1846;Closed/demolished;Loch Ness;;;;1850 to 1852,  1866 to 1884,  1917 to 1919,  1983 to 1988;;;;;;;;;;;;;57.481629;-4.247189;
Glenaden;;Highland;;;1915;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glenaden_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glencawdor;;Highland;;;1927;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glencawdor_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glencoull;;Highland;;;1927;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glencoull_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glenesk;Montrose, Angus, Scotland;Highland;;Diageo;1985;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glenesk_distillery;;1897;Closed/demolished;North Esk river;;;;1985-1996;;;James Isle;;;;;;;;;;56.745556;-2.4575;/wiki/File:Maltings_and_Distillery_near_Hillside.jpg
Glen Flagler;Airdrie, North Lanarkshire, Scotland;Lowland;;Inver House Distillers;1985;True;False;Malt Whisky;https://en.wikipedia.org/wiki/Glen_Flagler_distillery;;1965;Converted into a whisky warehouse facility;Lily Loch;;;;;;;;;;;;;;;;;55.864167;-3.931944;/wiki/File:Inver_House_Distillery_-_geograph.org.uk_-_199139.jpg
Glenfoyle;;Highland;;;1923;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glenfoyle_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glengilp;Ardrishaig;Highland;;;1937;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glengilp_distillery;;1831 (1831);Closed/demolished;;3;80,000 gallons per annum in 1886;;1937;;;Henry Hoey;;;;;;;;;;;;/wiki/File:Glenfyne_Distillery.png
Gleniffer;;Lowland;;;1894;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Gleniffer_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glenlochy;Fort William, Scotland;Highland;;Diageo;1983;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glenlochy_distillery;;1898;Closed/demolished;River Nevis;;;;;;;;;;;;;;;;;56.830278;-5.084722;/wiki/File:Glenlochy_Distillery_-_geograph.org.uk_-_3414282.jpg
Glenmavis;;Lowland;;;1910;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glenmavis_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glen Mhor;Inverness, Scotland;Highland;;Diageo;1983;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glen_Mhor_distillery;;1892;Closed/demolished;Loch Ness;;;;;;;;;;;;;;;;;57.474444;-4.237222;
Glen Nevis;;Campbeltown;;;1923;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glen_Nevis_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glenramskill;;Campbeltown;;;1854;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glenramskill_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glenside;;Campbeltown;;;1926;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glenside_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glenskiach;;Highland;;;1926;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glenskiach_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glentarras;;Lowland;;;1914;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Glentarras_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Glenugie;Peterhead, Scotland;Highland;;Chivas Brothers;1983;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glenugie_distillery;;1831;Closed/demolished;Wellington Spring;1 wash, 1 spirit;;;;;;;;;;;;;;;;57.491389;-1.796389;/wiki/File:Glenugie_distillery.jpg
Glenury;Stonehaven, Scotland;Highland;;Diageo;1985;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Glenury_distillery;;1825;Closed/demolished;River Cowie;2 wash, 2 spirit;;;;;;;;;;;;;;;;56.982778;-2.203333;/wiki/File:Glenury_distillery_preserved_chimney_base_4.jpg
Grandtully;;Highland;;;1910;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Grandtully_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Grange;;Lowland;;;1925;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Grange_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Greenock;;Lowland;;;1915;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Greenock_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Highland;;Campbeltown;;;1852;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Highland_whisky_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Hazelburn;Campbeltown, Scotland;Campbeltown;;;1925;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Hazelburn_distillery;;1825;Closed/demolished;;;;;;;;;;;;;;;;;;55.4284;-5.6097;
Imperial;Carron, Strathspey, Scotland;Speyside;;Chivas Brothers;1998;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Imperial_distillery;;1897 (1897);Closed/demolished;;;;;1899-19191925-19551985-19911998;;;;;;;;;;;;;57.4575;-3.305;/wiki/File:Imperial_Distillery_-_geograph.org.uk_-_6977.jpg
Inverleven;Dumbarton, Scotland;Lowland;;Chivas Brothers;1991;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Inverleven_distillery;;1938;Closed/demolished;Loch Lomond;;;;;;;;;;;;;;;;;;;/wiki/File:River_Leven_at_Dumbarton_-_geograph.org.uk_-_366291.jpg
Isla;;Highland;;;1926;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Isla_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Kinclaith;Glasgow, Scotland, UK;Lowland;;Chivas Brothers;1976;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Kinclaith_distillery;;1957;Closed/demolished;Loch Katrine;;;;;;;;;;;;;;;;;55.847222;-4.237222;
Kinloch;;Campbeltown;;;1926;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Kinloch_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Kintyre;;Campbeltown;;;1920;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Kintyre_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Ladyburn;South Ayrshire, Scotland;Lowland;;William Grant & Sons Ltd.;1975;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Ladyburn_distillery;;1966;Closed/demolished;Penwapple Reservoir;2 wash, 2 spirit;;;;;;;;;;;;;;;;55.254167;-4.830278;/wiki/File:Grant%27s_Distillery,_Girvan_-_geograph.org.uk_-_262939.jpg
Langholm;;Lowland;;;1917;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Langholm_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Littlemill;Bowling, West Dunbartonshire, Scotland;Lowland;;Loch Lomond Distillery;1992;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Littlemill_distillery;;1772;Closed/demolished;Kilpatrick Springs;;;;1929 to 1931, 1984 to 1989;;;;;;;;;;;;;;;/wiki/File:Littlemill_distillery,_2012.jpg
Loch Katrine;;Lowland;;;1920;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Loch_Katrine_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Lochside;Montrose, Angus;Highland;;Chivas Brothers;1992;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Lochside_distillery;;1957;Closed/demolished;Borehole aquifer;;;;1992;;;;;;;;;;;;;56.728611;-2.474444;/wiki/File:Lochside_Distillery_-_geograph.org.uk_-_253454.jpg
Lochhead;;Campbeltown;;;1928;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Lochhead_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Lochruan;;Campbeltown;;;1925;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Lochruan_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Longrow;;Campbeltown;;;1896;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Longrow_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Meadowburn;;Campbeltown;;;1882;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Meadowburn_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Millburn;Inverness, Scotland;Highland;;DCL;1985;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Millburn_distillery;;1807;Closed/demolished;Loch Duntelchaig;1 wash, 1 spirit;;;;;;;;;;;;;;;;57.474444;-4.203333;/wiki/File:The_Auld_Distillery,_Inverness_(geograph_2707027).jpg
Mossfield;;Campbeltown;;;1837;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Mossfield_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
North Port;Brechin, Angus;Highland;;Diageo;1983;True;True;Malt Whisky;https://en.wikipedia.org/wiki/North_Port_distillery;;1820;Closed/demolished;River South Esk;;;;1983;;;;;;;;;;;;;56.745556;-2.660833;
Parkmore;Dufftown, Scotland;Speyside;;Edrington;1988;True;False;Malt Whisky;https://en.wikipedia.org/wiki/Parkmore_distillery;;1894;Converted into a whisky warehouse facility;;;;;;;;;;;;;;;;;;57.4575;-3.118611;/wiki/File:Parkmore_Distillery,_Dufftown_-_geograph.org.uk_-_162719.jpg
Pittyvaich;Dufftown, Scotland;Speyside;;Diageo;1993;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Pittyvaich_distillery;;1974;Closed/demolished;Bailliemore & Convalleys springs;;;;;;;;;;;;;;;;;57.440556;-3.118611;/wiki/File:Pittyvaich_Distillery,_Dufftown._-_geograph.org.uk_-_162562.jpg
Port Charlotte;Islay;Islay;;The Bruichladdich Distillery Co. Ltd;1929;True;False;Malt Whisky;https://en.wikipedia.org/wiki/Port_Charlotte_distillery;;1829;Converted into a whisky warehouse facility;;;;;1929-2009;;;;;;;;;;;;;55.745556;-6.372778;/wiki/File:Port_Charlotte_distillery_(disused)_-_geograph.org.uk_-_2143359.jpg
Provanmill;;Lowland;;;1922;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Provanmill_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Saucel;;Lowland;;;1915;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Saucel_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Springside;;Campbeltown;;;1926;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Springside_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
St. Magdalene;Linlithgow, Scotland;Lowland;;Diageo;1983;True;False;Malt Whisky;https://en.wikipedia.org/wiki/St_Magdalene_distillery;;1798;Closed/buildings were converted into apartments;Loch Lomond;1 wash, 1 spirit;;;;;;;;;;;;;;;;55.982778;-3.593056;/wiki/File:Old_St_Magdalene%27s_Distillery_-_geograph.org.uk_-_554867.jpg
Strathdee;Aberdeen, Scotland;Highland;;Strathdee Distillery Co;1942;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Strathdee_distillery;;1821;Closed/demolished;Manofield Burn;1 wash, 1 spirit;;;;;;;;;;;;;;;;;;
Stromness;;Highland;;;1928;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Stromness_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Stronarchie;;Highland;;;1928;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Stronarchie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Tambovie;;Lowland;;;1914;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Tambovie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Thistle;;Campbeltown;;;1837;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Thistle_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Toberanrigh;;Campbeltown;;;1860;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Toberanrigh_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Towiemore;Botriphnie, Scotland;Highland;;The Lost Distillery Company’;1930;True;True;Malt Whisky;https://en.wikipedia.org/wiki/Towiemore_distillery;;1896;Closed/demolished;;1 wash, 1 spirit;;;;;;;;;;;;;;;;;;
Union;;Campbeltown;;;1850;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Union_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
West Highland;;Campbeltown;;;1852;True;True;Malt Whisky;https://en.wikipedia.org/w/index.php?title=West_Highland_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Caledonian;;;;;1988;True;True;Grain Whisky;https://en.wikipedia.org/w/index.php?title=Caledonian_grain_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Cambus;;;;;1993;True;False;Grain Whisky;https://en.wikipedia.org/wiki/Cambus,_Clackmannanshire#Distillery;;;;;;;;;;;;;;;;;;;;;56.123685;-3.844224;/wiki/File:Cambus_-_geograph.org.uk_-_1758141.jpg
Carsebridge;;;;;1983;True;True;Grain Whisky;https://en.wikipedia.org/w/index.php?title=Carsebridge_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Dumbarton;;;;;2002;True;True;Grain Whisky;https://en.wikipedia.org/wiki/Dumbarton#Whisky;;;;;;;;;;;;;;;;;;;;;55.95;-4.566667;/wiki/File:Dumbarton_from_Priestyard,_Renfrewshire.jpg
Dundashill;;;;;1902;True;False;Grain Whisky;https://en.wikipedia.org/w/index.php?title=Dundashill_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Garnheath;;;;;1986;True;True;Grain Whisky;https://en.wikipedia.org/wiki/Garnheath_distillery;;1964;;;;;;;;;S. S. Neuman;;;;;;;;;Drink industry;;;/wiki/File:Inver_House_Distillery_-_geograph.org.uk_-_199139.jpg
Gartloch;;;;;1920;True;True;Grain Whisky;https://en.wikipedia.org/w/index.php?title=Gartloch_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Kirkliston;;;;;1920;True;False;Grain Whisky;https://en.wikipedia.org/w/index.php?title=Kirkliston_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
North of Scotland;;;;;1980;True;True;Grain Whisky;https://en.wikipedia.org/w/index.php?title=North_of_Scotland_grain_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Port Dundas;;;;;2010;True;True;Grain Whisky;https://en.wikipedia.org/wiki/Port_Dundas#Port_Dundas_Grain_Distillery;;;;;;;;;;;;;;;;;;;;;55.881111;-4.254167;
